"","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","age_factor","location","gender","10.1. Rivers, canals and dykes_binary","10.2. Park lakes_binary","10.3. Coastal areas_binary","10.4. Estuaries_binary","10.5. Marinas_binary","blue_space_total_frequency","blue_space_mean_frequency","blue_space_num_visited"
"191","Respondent 193","I give consent to take part in this study",21,"Female","Yes","HU1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","2","2","3","3","4","4",NA,2,2,12,0,2,"No",7,7,5,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Calm, clean, busy","Calm, cold, wild","Lots of birds","Insects","I would if I had the space","Tidiness","2025-05-21 08:34:50 UTC","2025-05-21 08:41:16 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,0,1,18,3.6,4
"192","Respondent 194","I give consent to take part in this study",51,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","1","1",NA,2,52,52,1,2,"Yes",7,7,5,7,5,"Exercise (e.g., walking, kayaking, swimming)","Beautiful north sea","Wild north sea","Puffins gulls dolphins","Dolphins","I would if I had the space","Reduce the sewage discharges into the sea","2025-05-21 11:48:42 UTC","2025-05-21 11:54:47 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,109,21.8,5
"193","Respondent 195","I give consent to take part in this study",53,"Female","Yes","Yo25","Rural (i.e., mostly countryside with few houses or buildings)","No","No","2","2","2","2","2","2",NA,12,12,52,12,2,"Yes",6,7,4,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Pond dipping,Rock pooling","Open, calm, beautiful","Energetic, mother nature","Insects, fish, sea and land birds, dolphins,","Any","I would if I had the space","Keeping areas clean, seating to enjoy the area, encourage wild life","2025-05-21 11:54:04 UTC","2025-05-21 12:03:07 UTC","3","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,90,18,5
"194","Respondent 196","I give consent to take part in this study",62,"Female","Yes","YO2","Rural (i.e., mostly countryside with few houses or buildings)","No","No","1","1","1","1","1","1",NA,52,52,52,2,2,"Yes",1,1,5,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Pond in village","Beck in fields","Deer rabbits kestrels","Any would be fabulous","I would if I had the space","Have free places to visit","2025-05-21 12:03:11 UTC","2025-05-21 12:08:01 UTC","4","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,160,32,5
"195","Respondent 197","I give consent to take part in this study",54,"Female","Yes","HU16","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","2","2","2","2","3",NA,12,2,12,12,2,"Yes",6,7,7,7,7,"Dog walking,Exercise (e.g., walking, kayaking, swimming)","A stream","Hornsea beach","Dolphins, seals, range of sea birds","Garden birds","I already do","Knowledge about what is missing and how to improve","2025-05-21 12:10:28 UTC","2025-05-21 12:16:28 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,40,8,5
"196","Respondent 198","I give consent to take part in this study",56,"Female","Yes","Ls28","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,12,12,12,1,0,"Yes",7,7,6,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Dirty water","Calming, wildlife, enjoyable","Dragon flies, otters,, fish. Kingfisher, water vole","Mammals","I already do","Clean up our water","2025-05-21 12:17:07 UTC","2025-05-21 12:22:47 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,0,37,7.4,4
"197","Respondent 199","I give consent to take part in this study",62,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,12,1,52,0,52,"Yes",7,7,5,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","Hall Garth Park","The North Sea","Deer rabbits seals birds","Birds","I would if I had the space","Encourage youngsters to enjoy and look after the spaces","2025-05-21 12:22:35 UTC","2025-05-21 12:29:28 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,0,1,117,23.4,4
"198","Respondent 200","I give consent to take part in this study",64,"Female","Yes","Hu17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","1","1",NA,52,12,52,2,1,"No",7,7,7,7,7,"Exercise (e.g., walking, kayaking, swimming)","Hornsea beach","Hornsea beach","Seals","Dolphins","Maybe, I would consider providing a blue space with more information or assistance","Keep it clean","2025-05-21 13:00:40 UTC","2025-05-21 13:05:41 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,119,23.8,5
"199","Respondent 201","I give consent to take part in this study",55,"Female","Yes","Hu18","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","3",NA,2,12,52,2,2,"No",7,7,5,7,6,"Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Energetic, vibrant, calming","Exciting, adventurous, peaceful","Birds, fish, seals","Not sure","No","Not sure","2025-05-21 13:07:19 UTC","2025-05-21 13:14:26 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,70,14,5
"200","Respondent 202","I give consent to take part in this study",60,"Female","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,52,12,52,2,12,"Yes",7,7,5,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Pond dipping,Rock pooling","A hidden gem","Crazy, affectionate,  loving","Dolphins, porpoises,  jelly fish,  birds, swans, fish","Foxes","I already do","More bins","2025-05-21 13:21:05 UTC","2025-05-21 13:28:00 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,130,26,5
"201","Respondent 203","I give consent to take part in this study",63,"Female","Yes","HU1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,2,2,52,2,2,"No",7,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","Hornsea Mere","Hornsea Mere","Birds Ducks swans etc","Otters","I would if I had the space","Keeping it clean","2025-05-21 15:14:09 UTC","2025-05-21 15:23:09 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,60,12,5
"202","Respondent 204","I give consent to take part in this study",63,"Female","Yes","Hu18","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","2",NA,52,12,52,52,12,"Yes",7,7,5,7,7,"Dog walking,Exercise (e.g., walking, kayaking, swimming)","The beach sea","Sandy beach seA","Birds seals","Everything","I would if I had the space","Have more and larger","2025-05-21 15:25:01 UTC","2025-05-21 15:27:54 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,180,36,5
"203","Respondent 205","I give consent to take part in this study",61,"Female","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","3",NA,52,12,52,12,2,"Yes",7,7,6,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Not really visible","Wildlife poor unkempt","Pheasants, ducks, buzzards","Insects, spiders, water voles, fish, amphibians specific to habitat available","I already do","Community groups to adopt and care for wild areas","2025-05-21 15:31:35 UTC","2025-05-21 15:38:28 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,130,26,5
"204","Respondent 206","I give consent to take part in this study",50,"Female","Yes","Hu1","Rural (i.e., mostly countryside with few houses or buildings)","No","No","1","1","1","1","1","1",NA,52,12,52,52,2,"Yes",7,7,5,7,5,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","The cliff top","The cliff top","Deer, magpies, foxes, sea birds, rats,mice, sparrows, kestrel,buzzards, barn owl, blackbirds,thrush, bullfinches, chaff finches,","Wild birds","I would if I had the space","Need to be cjept clean and accessible to all","2025-05-21 16:07:38 UTC","2025-05-21 16:16:11 UTC","3","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,170,34,5
"205","Respondent 207","I give consent to take part in this study",58,"Female","Yes","HU18","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,52,52,52,0,1,"No",1,1,5,7,6,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","Peaceful, relaxing, beautiful","Overgrown, untidy, pollution","Rabbits, birds, squirrels","Badgers, frogs, beavers","I would if I had the space","Footpaths, car park, nature trail","2025-05-21 16:31:00 UTC","2025-05-21 16:43:01 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,0,1,157,31.4,4
"206","Respondent 208","I give consent to take part in this study",78,"Male","Yes","Hu17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","3","2","2","1","3","2",NA,52,0,12,2,0,"Yes",4,7,7,7,4,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing","River Hull Tickton","West Beck Wansford","Otters ,mink ,cormorants ,kingfishers ,grass snake ,heron ,bittern  ,etc","White tailed eagle","No","Improve water quality ,reduce water abstraction and in Beverley ,take control of the boats moored on the River Hull and on the River at Hempholme boats","2025-05-21 19:44:27 UTC","2025-05-21 19:54:11 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,0,1,1,0,66,13.2,3
"207","Respondent 209","I give consent to take part in this study",73,"Female","Yes","HU1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","1",NA,12,2,52,0,1,"Yes",6,6,4,6,6,"Exercise (e.g., walking, kayaking, swimming)","The North Sea","The Mere","Birds, Deer, Dolphins","Deer","I would if I had the space","With cash that I don't have sadly","2025-05-21 21:25:25 UTC","2025-05-21 21:39:55 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,0,1,67,13.4,4
"208","Respondent 210","I give consent to take part in this study",51,"Male","Yes","Hu8","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","1",NA,12,52,52,52,52,"No",7,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Feeding wildlife (e.g., ducks, fish),Pond dipping","I love it","An amazing place","Deer foxes rabbits","Deer","Maybe, I would consider providing a blue space with more information or assistance","Litter","2025-05-22 09:44:53 UTC","2025-05-22 10:04:05 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,220,44,5
"209","Respondent 211","I give consent to take part in this study",30,"Male","Yes","Hu6","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","4",NA,12,2,52,52,2,"Yes",7,7,5,6,7,"Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Rock pooling","Ok, rubbish and chavs","Peace, wildlife, left alone","Butterfly, birds, ducks","Fish,","I would if I had the space","Paths, so people keep to them","2025-05-22 11:10:26 UTC","2025-05-22 11:15:47 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,120,24,5
"210","Respondent 212","I give consent to take part in this study",64,"Female","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","1","1",NA,52,52,52,52,2,"Yes",7,7,6,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Pond dipping","Walking the wolds","The Ferriby woods","Birds deer insects rabbits","All wildlife","I already do","Get more children involved","2025-05-22 11:15:31 UTC","2025-05-22 11:21:00 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,210,42,5
"211","Respondent 213","I give consent to take part in this study",53,"Male","Yes","DL10","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","3",NA,12,0,12,1,1,"Yes",6,6,5,6,6,"Nature watching,Dog walking,Fishing","River Swale","Swale at Easby","Kingfishers, seals, dolphins, seabirds","Seabirds","Maybe, I would consider providing a blue space with more information or assistance","Accessibility, cleanness of the environment and improved water quality","2025-05-22 11:37:47 UTC","2025-05-22 11:42:57 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,0,1,1,1,26,5.2,4
"212","Respondent 214","I give consent to take part in this study",42,"Male","Yes","Hu1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,52,12,52,52,52,"Yes",7,7,5,7,6,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","Holderness coast","Humber estuary","Fish,Whales,Dolphins,Birds,Reptiles","TUNA","I would if I had the space","Clean up plastic rubbish","2025-05-22 12:29:05 UTC","2025-05-22 12:36:36 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,220,44,5
"213","Respondent 215","I give consent to take part in this study",44,"Male","Yes","BD6","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","2","1","1","3","4",NA,12,52,12,2,12,"Yes",6,7,6,7,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Rock pooling","Close, accessible, dilapidated","Not respected, at risk, not maintained","Many animals, insects, fish, marine mammals, crustacean's, birds etc, but also many trees, plants etc, I appreciate a lot of wildlife.","It is a real problem of declining populations due to pollution, destruction of habitats, and exploitation.","Maybe, I would consider providing a blue space with more information or assistance","Educate people on the importance, stop pollution, exploitation and destruction of the habitats","2025-05-22 12:23:10 UTC","2025-05-22 12:43:12 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,90,18,5
